,cad_recursive_linear_residue,aud_recursive_linear_residue,gbp_recursive_linear_residue
2012-04-10,-0.006789279044754281,-0.0059723538134474705,-0.0018657713071776156
2012-04-11,0.0006200241894132495,0.004826253153545944,0.00296450396244284
2012-04-12,0.00950860885491902,0.013366717704851644,0.0032993815912732097
2012-04-13,-0.005266342403303575,-0.00647835126056546,-0.007148889505823123
2012-04-16,0.00031738913661361675,-0.001293340632924406,0.003645510238250568
2012-04-17,0.00907009037207228,0.0033353629410648785,0.0014643684802745167
2012-04-18,-0.0008741089668145919,-0.002930478315950733,0.006215297161927435
2012-04-19,-0.004552292971372978,-0.0026490034894365456,0.0016683836443766448
2012-04-20,0.0033972789307307374,0.004789413589654552,0.004358791104201708
2012-04-23,0.0011085534080201734,-0.005836401884945082,0.0005421705188029416
2012-04-24,0.0042709854525893355,-0.0003300898911418968,0.000790909689669332
2012-04-25,0.003859734032595286,0.003734805979980922,0.0012193936526659834
2012-04-26,-0.0011630836377479468,0.003625092046380214,0.0014506493607804535
2012-04-27,0.004045657932995057,0.00782334591340919,0.0048892977136342245
2012-04-30,-0.006770803964121958,-0.003961524447028979,-0.0020030292377436294
2012-05-01,0.0015957749275735246,-0.009093337554862588,-0.0006689458770557624
2012-05-02,-0.0006726111303881879,-3.915291355478281e-05,-0.001200435126669244
2012-05-03,-0.0021546427030221405,-0.0066424101996624876,-0.0012473343959757128
2012-05-04,-0.006726496113264587,-0.00796355211397082,-0.0015565831818988977
2012-05-07,0.0020058239103234402,0.0015297236211646425,0.002535995274055293
2012-05-08,-0.005559594164144692,-0.007423466456104354,-0.001991296235021232
2012-05-09,-0.0038849875580678137,-0.006882721444941041,-0.0017238537962333293
2012-05-10,0.0005187318219119724,0.003137143337056396,0.0012459558184258058
2012-05-11,0.0016196370938551987,-0.006110940284500139,-0.0047496937143503
2012-05-14,-0.0031891828459770263,-0.006149227717507536,0.0016588804007587484
2012-05-15,-0.0035016291167458274,-0.002053464251544461,-0.00615099770136446
2012-05-16,-0.004828982098862423,-0.0022596449316240365,-0.004928031176469405
2012-05-17,-0.0073985413059259215,-0.0025683791638269216,-0.0068850240321777735
2012-05-18,-0.002432676891224308,-0.004402148467305279,0.0015726234929100383
2012-05-21,0.004606823227308213,0.007244249162170067,0.0011630380977541571
2012-05-22,-0.002937560961584037,-0.010588868675267447,-0.004590738547947493
2012-05-23,-0.0045853283221532655,-0.0064877094367370314,-0.004227734836801845
2012-05-24,-0.001829547558967588,0.0018004055414401147,-0.001121638243338171
2012-05-25,-0.002141718812155389,-0.0004546491306687186,-0.00020603163507673018
2012-05-28,0.005355827679603797,0.009644638583866199,0.0010996435160838404
2012-05-29,0.0016543830536189694,-0.0003484716569188435,-0.0025840122190459607
2012-05-30,-0.0077813567015352254,-0.014672597521183144,-0.01032001355440491
2012-05-31,-0.0025612291689194426,0.003144359488733763,-0.0043077931403040295
2012-06-01,-0.007863034231202676,-0.003338318712895952,-0.0025033087123570333
2012-06-04,0.0016817940782966163,0.0028369719638849464,0.001525750972522404
2012-06-05,0.001471495519030166,0.001495729879759886,-4.271619932051564e-05
2012-06-06,0.009828135130894207,0.018869501942454157,0.007453769419818479
2012-06-07,-0.0001879958028940703,-0.003272185082847828,0.0018187163243045422
2012-06-08,0.0017633824716911108,0.0022787210866475165,-0.003482586220189067
2012-06-11,-0.005538587423367974,-0.005200228591680674,0.0009602483247641052
2012-06-12,0.005163186473738871,0.009642518806679467,0.005451712899489931
2012-06-13,-0.0036846303576591674,-0.002455828545123574,-0.0042968584286294164
2012-06-14,0.007510532390780842,0.009076620627828625,0.003942290648719704
2012-06-15,0.0008352991572116513,0.00513250995819981,0.009662188492504688
2012-06-18,-0.0024376901564808554,0.004909354569351051,-0.0033809831994623053
2012-06-19,0.0063479815554578455,0.006359334153553121,0.003931990842532369
2012-06-20,-0.00038965353602056474,0.0006463745198597558,-0.0005032786057648244
2012-06-21,-0.011143161814827524,-0.01576236613656855,-0.00796551206041364
2012-06-22,0.00494772015152594,0.003042993615243575,8.169060833004512e-05
2012-06-25,-0.004397917524031909,-0.005222591801517719,-0.0008217845633421548
2012-06-26,0.005252361994768855,0.0053378312399581275,0.004455038422336384
2012-06-27,-0.0011092066389233183,0.0016461824043580977,-0.004820167623280035
2012-06-28,-0.008008831915194234,-0.003420644657104676,-0.0029251552340701123
2012-06-29,0.016209750407336635,0.019088909487714068,0.012215331622670729
2012-07-02,-0.0005925741021664576,0.001131471533254472,-0.001355178165221091
2012-07-03,0.004989407418656468,0.003369526116847937,-2.5129248077946948e-05
2012-07-04,-0.000792490553077226,-0.0006233472801961352,-0.006321879849566006
2012-07-05,-0.0011987445048206866,0.0011275026204759283,-0.003831166553416411
2012-07-06,-0.005270235377021204,-0.007161923833710738,-0.0017280289940414726
2012-07-09,0.000425301246054482,-0.0004320722743077921,0.002196105056063977
2012-07-10,-0.0033513430224375237,-0.0015110080534061574,-0.00045203600054384
2012-07-11,0.0024687859931182207,0.005829782690676943,-0.0011417079987210983
2012-07-12,0.000935219160321032,-0.010928268111601405,-0.004611249867702563
2012-07-13,0.004897596261968451,0.008601742406584892,0.009709590531508541
2012-07-16,-0.0006926372305393351,0.002304262910838571,0.0037226965800465283
2012-07-17,0.0029564971268880233,0.0065735678888928,0.0010213706440926169
2012-07-18,0.0017363755577793334,0.004603301902202159,-3.221717498018541e-05
